,bite date,SpeciesIDDesc,BreedIDDesc,GenderIDDesc,color,vaccination year,vaccination date,victim zip,AdvIssuedYNDesc,WhereBittenIDDesc,quarantine date,DispositionIDDesc,head sent date,release date,ResultsIDDesc
36,1994-05-10 00:00:00,DOG,UNIDENTIFIED,F,MULT COLOR,1.4409857328145266,UNIDENTIFIED,1994-05-13 00:00:00,0.0,HEAD,1994-05-13 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
37,1994-05-22 00:00:00,DOG,UNIDENTIFIED,M,TRI,1.4409857328145266,UNIDENTIFIED,1994-05-24 00:00:00,0.0,BODY,1994-05-24 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
40,2009-10-29 00:00:00,CAT,UNIDENTIFIED,F,GRAY,1.4409857328145266,UNIDENTIFIED,2009-10-30 00:00:00,0.0,BODY,2009-10-30 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
41,2009-12-02 00:00:00,DOG,UNIDENTIFIED,M,TAN-BRN,1.0,2010-01-16 00:00:00,2009-12-03 00:00:00,0.0,BODY,2009-12-03 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
42,2009-12-11 00:00:00,DOG,UNIDENTIFIED,M,BLK-BRN,1.4409857328145266,UNIDENTIFIED,2009-12-11 00:00:00,0.0,BODY,2009-12-11 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
44,2009-12-24 00:00:00,DOG,UNIDENTIFIED,M,BRN-WHT,1.0,2009-04-30 00:00:00,2009-12-28 00:00:00,0.0,HEAD,2009-12-28 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
47,2009-12-29 00:00:00,DOG,UNIDENTIFIED,F,WHT-BRN,3.0,2008-06-07 00:00:00,2009-12-30 00:00:00,0.0,BODY,2009-12-30 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
48,2009-12-30 00:00:00,DOG,UNIDENTIFIED,F,WHITE,3.0,2010-01-06 00:00:00,2009-12-31 00:00:00,0.0,BODY,2009-12-31 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
49,2009-12-30 00:00:00,DOG,UNIDENTIFIED,M,BLK-WHT,1.4409857328145266,UNIDENTIFIED,2010-01-06 00:00:00,0.0,BODY,2010-01-06 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
50,2009-12-30 00:00:00,DOG,UNIDENTIFIED,F,BLK-WHT,1.0,2009-12-26 00:00:00,2010-01-06 00:00:00,0.0,BODY,2010-01-06 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
51,2009-12-31 00:00:00,DOG,UNIDENTIFIED,M,WHT-GRAY,3.0,2008-08-28 00:00:00,2010-01-04 00:00:00,0.0,BODY,2010-01-04 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
52,2009-12-31 00:00:00,CAT,UNIDENTIFIED,M,WHITE,1.0,2010-01-14 00:00:00,2010-01-04 00:00:00,0.0,BODY,2010-01-04 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
53,2009-12-31 00:00:00,DOG,UNIDENTIFIED,M,BRN,1.0,2009-07-23 00:00:00,2010-01-04 00:00:00,0.0,BODY,2010-01-04 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
54,2010-01-01 00:00:00,DOG,UNIDENTIFIED,F,WHT,1.0,2009-10-22 00:00:00,2010-01-04 00:00:00,0.0,BODY,2010-01-04 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
55,2010-01-02 00:00:00,DOG,UNIDENTIFIED,M,BLK-BRN,3.0,2008-02-07 00:00:00,2010-01-04 00:00:00,0.0,HEAD,2010-01-04 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
59,2010-01-02 00:00:00,DOG,UNIDENTIFIED,F,BRN-WHT,1.0,2010-01-27 00:00:00,2010-01-06 00:00:00,0.0,HEAD,2010-01-06 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
61,2010-01-04 00:00:00,DOG,UNIDENTIFIED,F,BLK,1.0,2010-01-15 00:00:00,2010-01-06 00:00:00,0.0,BODY,2010-01-06 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
62,2010-01-04 00:00:00,DOG,UNIDENTIFIED,M,TAN,1.0,2009-09-01 00:00:00,2010-01-15 00:00:00,0.0,HEAD,2010-01-15 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
63,2010-01-05 00:00:00,DOG,UNIDENTIFIED,M,BLK-TAN,1.0,2009-02-02 00:00:00,2010-01-06 00:00:00,0.0,BODY,2010-01-06 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
64,2010-01-05 00:00:00,DOG,UNIDENTIFIED,F,BRN,1.0,2009-03-31 00:00:00,2010-01-06 00:00:00,0.0,BODY,2010-01-06 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
66,2010-01-07 00:00:00,DOG,UNIDENTIFIED,F,TAN,3.0,2010-02-01 00:00:00,2010-01-08 00:00:00,0.0,HEAD,2010-01-08 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
67,2010-01-07 00:00:00,DOG,UNIDENTIFIED,M,BLK,3.0,2010-02-05 00:00:00,2010-01-08 00:00:00,0.0,BODY,2010-01-08 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
68,2010-01-07 00:00:00,DOG,UNIDENTIFIED,M,COPPER-WHT,1.0,2009-03-10 00:00:00,2010-01-08 00:00:00,0.0,BODY,2010-01-08 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
69,2010-01-08 00:00:00,DOG,UNIDENTIFIED,M,BLK-WHT,1.4409857328145266,UNIDENTIFIED,2010-01-13 00:00:00,0.0,HEAD,2010-01-13 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
70,2010-01-08 00:00:00,DOG,UNIDENTIFIED,F,WHT-BUFF,1.0,2010-01-06 00:00:00,2010-01-11 00:00:00,0.0,BODY,2010-01-11 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
75,2010-01-11 00:00:00,DOG,UNIDENTIFIED,M,BRN,1.0,2010-02-02 00:00:00,2010-01-11 00:00:00,0.0,BODY,2010-01-11 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
76,2010-01-11 00:00:00,DOG,UNIDENTIFIED,M,BLK-WHT,3.0,UNIDENTIFIED,2010-01-12 00:00:00,0.0,HEAD,2010-01-12 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
77,2010-01-11 00:00:00,DOG,UNIDENTIFIED,F,BRINDLE,3.0,2007-03-16 00:00:00,2010-01-12 00:00:00,0.0,HEAD,2010-01-12 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
78,2010-01-12 00:00:00,DOG,UNIDENTIFIED,M,BRN-WHT,1.4409857328145266,UNIDENTIFIED,UNIDENTIFIED,0.0,BODY,UNIDENTIFIED,UNIDENTIFIED,2010-01-14 00:00:00,UNIDENTIFIED,UNIDENTIFIED
79,2010-01-12 00:00:00,DOG,UNIDENTIFIED,M,TRI,1.4409857328145266,UNIDENTIFIED,2010-01-13 00:00:00,1.0,BODY,2010-01-13 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
80,2010-01-12 00:00:00,DOG,UNIDENTIFIED,M,BLK,1.0,2009-10-19 00:00:00,2010-01-13 00:00:00,0.0,BODY,2010-01-13 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
83,2010-01-14 00:00:00,DOG,UNIDENTIFIED,M,YELLOW,1.0,2010-01-01 00:00:00,2010-01-20 00:00:00,0.0,BODY,2010-01-20 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
